moeda,valor,data,hora
Peso Argentino,0.01,26/03/2024,18:21:47
Dólar Neozelandês,2.99,26/03/2024,18:21:53
Peso Colombiano,0.00,26/03/2024,18:22:00
Rublo Russo,0.05,26/03/2024,18:22:06
Dólar Americano,4.98,26/03/2024,18:22:12
Ethereum,17909.11,26/03/2024,18:22:18
Boliviano,0.72,26/03/2024,18:22:24
Riyal Saudita,1.33,26/03/2024,18:22:31
Litecoin,467.22,26/03/2024,18:22:38
Peso Argentino,0.01,26/03/2024,18:22:44
Guarani Paraguaio,0.00,26/03/2024,18:22:50
Ethereum,17909.11,26/03/2024,18:22:56
Rand Sul-Africano,0.26,26/03/2024,18:23:03
Nova Lira Turca,0.15,26/03/2024,18:23:08
Dólar de Hong Kong,0.64,26/03/2024,18:23:14
Dólar Canadense,3.66,26/03/2024,18:23:20
Dirham dos Emirados,1.36,26/03/2024,18:23:26
Libra Esterlina,6.28,26/03/2024,18:23:31
Iene Japonês,0.03,26/03/2024,18:23:37
Dólar Americano,4.98,26/03/2024,18:23:43
Yuan Chinês,0.69,26/03/2024,18:23:49
Rand Sul-Africano,0.26,26/03/2024,18:23:54
Bolívar Venezuelano,0.14,26/03/2024,18:24:01
Dólar Australiano,3.25,26/03/2024,18:24:06
Boliviano,0.72,26/03/2024,18:24:12
Dólar Taiuanês,0.16,26/03/2024,18:24:18
Litecoin,471.21,26/03/2024,20:05:07
Peso Chileno,0.01,26/03/2024,20:05:13
Coroa Dinamarquesa,0.72,26/03/2024,20:05:19
Iene Japonês,0.03,26/03/2024,20:05:26
Bitcoin,351241.00,26/03/2024,20:05:32
Novo Shekel Israelense,1.36,26/03/2024,20:05:38
Dogecoin,0.90,26/03/2024,20:05:44
Rand Sul-Africano,0.26,26/03/2024,20:05:50
Nova Lira Turca,0.15,26/03/2024,20:05:56
Yuan Chinês,0.69,26/03/2024,20:06:02
Ethereum,18031.31,26/03/2024,20:06:08
Riyal Saudita,1.33,26/03/2024,20:06:14
Baht Tailandês,0.14,26/03/2024,20:06:20
Dólar de Hong Kong,0.64,26/03/2024,20:06:26
Ethereum,18031.31,26/03/2024,20:06:32
Dólar Taiuanês,0.16,26/03/2024,20:06:38
Peso Chileno,0.01,26/03/2024,20:06:44
Coroa Norueguesa,0.46,26/03/2024,20:06:50
Nova Lira Turca,0.15,26/03/2024,20:06:56
Coroa Dinamarquesa,0.72,26/03/2024,20:07:02
Dólar de Hong Kong,0.64,26/03/2024,20:07:09
Peso Uruguaio,0.13,26/03/2024,20:07:16
Rúpia Indiana,0.06,26/03/2024,20:07:22
Dólar Neozelandês,2.99,26/03/2024,20:07:28
Guarani Paraguaio,0.00,26/03/2024,20:07:34
Riyal Saudita,1.33,26/03/2024,20:07:39
Rúpia Indiana,0.06,26/03/2024,20:07:45
Sol do Peru,1.34,26/03/2024,20:07:51
Zlóti Polonês,1.25,26/03/2024,20:07:57
Dólar Neozelandês,2.99,26/03/2024,20:08:04
Dólar Canadense,3.66,26/03/2024,20:08:09
Litecoin,473.20,26/03/2024,20:08:15
Peso Mexicano,0.30,26/03/2024,20:08:21
Coroa Sueca,0.47,26/03/2024,20:08:27
XRP,3.17,26/03/2024,20:08:33
Guarani Paraguaio,0.00,26/03/2024,20:08:39
Dogecoin,0.90,26/03/2024,20:08:44
Iene Japonês,0.03,26/03/2024,20:08:51
Dólar Australiano,3.25,26/03/2024,20:08:57
Dólar Neozelandês,2.99,26/03/2024,20:09:03
Sol do Peru,1.34,26/03/2024,20:09:09
Bolívar Venezuelano,0.14,26/03/2024,20:09:15
Dólar Americano,4.98,26/03/2024,20:09:20
Zlóti Polonês,1.25,26/03/2024,20:09:26
Dólar de Hong Kong,0.64,26/03/2024,20:09:32
Peso Uruguaio,0.13,26/03/2024,20:09:38
Peso Argentino,0.01,26/03/2024,20:09:44
Novo Shekel Israelense,1.36,26/03/2024,20:09:50
Baht Tailandês,0.14,26/03/2024,20:09:57
Bolívar Venezuelano,0.14,26/03/2024,20:10:03
Dirham dos Emirados,1.36,26/03/2024,20:10:09
Coroa Dinamarquesa,0.72,26/03/2024,20:10:16
Dirham dos Emirados,1.36,26/03/2024,20:10:21
Dirham dos Emirados,1.36,26/03/2024,20:10:27
Novo Shekel Israelense,1.36,26/03/2024,20:10:34
Dólar de Cingapura,3.70,26/03/2024,20:10:40
Dólar Neozelandês,2.99,26/03/2024,20:10:46
Nova Lira Turca,0.15,26/03/2024,20:10:53
Coroa Norueguesa,0.46,26/03/2024,20:10:59
XRP,3.17,26/03/2024,20:11:05
Rublo Russo,0.05,26/03/2024,20:11:10
Dólar Taiuanês,0.16,26/03/2024,20:11:16
Peso Uruguaio,0.13,26/03/2024,20:11:22
Bitcoin,351547.00,26/03/2024,20:11:28
XRP,3.17,26/03/2024,20:11:33
Peso Chileno,0.01,26/03/2024,20:11:39
Bolívar Venezuelano,0.14,26/03/2024,20:11:46
Dólar Canadense,3.66,26/03/2024,20:11:52
Riyal Saudita,1.33,26/03/2024,20:11:58
Novo Shekel Israelense,1.36,26/03/2024,20:12:04
Peso Colombiano,0.00,26/03/2024,20:12:10
Baht Tailandês,0.14,26/03/2024,20:12:16
XRP,3.17,26/03/2024,20:12:22
Boliviano,0.72,26/03/2024,20:12:28
Dólar Americano,4.98,26/03/2024,20:12:34
Coroa Norueguesa,0.46,26/03/2024,20:12:40
Rublo Russo,0.05,26/03/2024,20:12:46
Dólar Taiuanês,0.16,26/03/2024,20:12:51
Rúpia Indiana,0.06,26/03/2024,20:12:58
Zlóti Polonês,1.25,26/03/2024,20:13:04
Riyal Saudita,1.33,26/03/2024,20:13:09
Euro,5.39,26/03/2024,20:13:15
Dólar Taiuanês,0.16,26/03/2024,20:13:20
